stratum,lineage,head,seed,K,forget_id,update_mode,dose,protocol,epochs_recorded,first_zero_epoch,centred_reversal_ep1,centred_reversal_any_epoch,centred_reversal_epochs,uncentred_reversal_any,nc3_centred_ep0,source_artifact,reused_elsewhere
E CIFAR-10 context,CIFAR-10 32x32,arcface,1,10,0,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,True,True,1;2;3,False,0.9975238553995364,logs/postfix_seed1/cifar10_arcface_seed1_random_label_clfonly_fc0,supersedes pre-LR-fix logs/cifar10_arcface_seed1_*
E CIFAR-10 context,CIFAR-10 32x32,ce,1,10,0,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9554597795493229,logs/cifar10_ce_seed1_random_label_clfonly_fc0,
E CIFAR-10 context,CIFAR-10 32x32,arcface,0,10,1,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,True,True,1;2;3,False,0.9585164170115426,logs/postfix_seed0_clean/cifar10_arcface_seed0_random_label_clfonly_fc1,supersedes pre-LR-fix logs/cifar10_arcface_seed0_*
E CIFAR-10 context,CIFAR-10 32x32,arcface,1,10,1,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,True,True,1;2;3,False,0.9371854434914939,logs/postfix_seed1/cifar10_arcface_seed1_random_label_clfonly_fc1,supersedes pre-LR-fix logs/cifar10_arcface_seed1_*
E CIFAR-10 context,CIFAR-10 32x32,ce,1,10,1,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9577698574805742,logs/cifar10_ce_seed1_random_label_clfonly_fc1,
E CIFAR-10 context,CIFAR-10 32x32,arcface,0,10,2,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,True,True,1;2;3,False,0.9527785763856369,logs/postfix_seed0_clean/cifar10_arcface_seed0_random_label_clfonly_fc2,supersedes pre-LR-fix logs/cifar10_arcface_seed0_*
E CIFAR-10 context,CIFAR-10 32x32,arcface,1,10,2,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,True,True,1;2;3,False,0.9993040278334863,logs/postfix_seed1/cifar10_arcface_seed1_random_label_clfonly_fc2,supersedes pre-LR-fix logs/cifar10_arcface_seed1_*
E CIFAR-10 context,CIFAR-10 32x32,ce,1,10,2,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.967272804441075,logs/cifar10_ce_seed1_random_label_clfonly_fc2,
E CIFAR-10 context,CIFAR-10 32x32,arcface,0,10,3,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,True,True,1;2;3,False,0.9695268638084419,logs/postfix_seed0_clean/cifar10_arcface_seed0_random_label_clfonly_fc3,supersedes pre-LR-fix logs/cifar10_arcface_seed0_*
E CIFAR-10 context,CIFAR-10 32x32,arcface,1,10,3,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,True,True,1;2;3,False,0.9439537317728703,logs/postfix_seed1/cifar10_arcface_seed1_random_label_clfonly_fc3,supersedes pre-LR-fix logs/cifar10_arcface_seed1_*
E CIFAR-10 context,CIFAR-10 32x32,ce,1,10,3,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9623767600818837,logs/cifar10_ce_seed1_random_label_clfonly_fc3,
E CIFAR-10 context,CIFAR-10 32x32,ce,0,10,1,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9610299497832143,logs/cifar10_ce_seed0_random_label_clfonly_fc1,
E CIFAR-10 context,CIFAR-10 32x32,ce,0,10,2,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.966312963785364,logs/cifar10_ce_seed0_random_label_clfonly_fc2,
E CIFAR-10 context,CIFAR-10 32x32,ce,0,10,3,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.963267099071637,logs/cifar10_ce_seed0_random_label_clfonly_fc3,
E CIFAR-10 context,CIFAR-10 32x32,ce,0,10,0,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9513044546105804,logs/cifar10_ce_seed0/trajectory.jsonl (multi-row; its results.jsonl shares a file with a KNOWN MISLABELLED finetune_ep30 row),
F fc0 mechanism controls,CIFAR-10 32x32,arcface,0,10,0,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,frozen member of a paired full-vs-frozen control,0;1;2;3,1,True,True,1;2;3,False,0.9692081424938814,logs/feature_movement_paired/cifar10_arcface_seed0_random_label_clfonly_fc0,REPEATED OBSERVATION of the stratum C/E fc0 cell under a different dose; NOT an independent cell
F fc0 mechanism controls,faces-1000 (same source dir),arcface,0,1000,0,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,frozen member of a paired full-vs-frozen control,0;1;2;3,1,False,False,-,False,0.8875037294191552,logs/feature_movement_paired/faces_arcface_seed0_random_label_clfonly_fc0,REPEATED OBSERVATION of the stratum C/E fc0 cell under a different dose; NOT an independent cell
F fc0 mechanism controls,faces-1000 (same source dir),arcface,0,1000,0,classifier_only,m=9; lambda=0.3128888888888889,frozen member of a paired full-vs-frozen control,0;1;2;3,2,False,False,-,False,0.8875037294191552,logs/feature_movement_dose/faces_arcface_seed0_random_label_dualdose_clfonly_fc0,REPEATED OBSERVATION of the stratum C/E fc0 cell under a different dose; NOT an independent cell
F fc0 mechanism controls,faces-1000 (same source dir),arcface,0,1000,0,classifier_only,m=9; lambda=1,frozen member of a paired full-vs-frozen control,0;1;2;3,1,False,False,-,False,0.8875037294191552,logs/feature_movement_ablation/faces_arcface_seed0_random_label_m9_w1_clfonly_fc0,REPEATED OBSERVATION of the stratum C/E fc0 cell under a different dose; NOT an independent cell
F fc0 mechanism controls,faces-1000 (same source dir),arcface,0,1000,0,classifier_only,m=303; lambda=0.009293729372937293,frozen member of a paired full-vs-frozen control,0;1;2;3,2,False,False,-,False,0.8875037294191552,logs/feature_movement_ablation/faces_arcface_seed0_random_label_m303_coeffmatched_clfonly_fc0,REPEATED OBSERVATION of the stratum C/E fc0 cell under a different dose; NOT an independent cell
